;"Kompetenzmodell Chemielaborant";;;;
;;"Kompetenzaspekte";;;
;;"Fachkompetenz";;"Personale Kompetenz";
;;"Wissen";"Fertigkeiten";"Sozialkompetenz";"Selbstkompetenz"
"Kompetenzbereiche";"Beschreibung";"Tiefe und Breite des Wissens";"Instrumentelle und systematische Fertigkeiten, Beurteilungsfähigkeit";"Team-/Führungsfähigkeit, Mitgestaltung und Kommunikation";"Selbständigkeit/ Verantwortung, Reflexivität und Lernkompetenz"
"Chemische/ physikalische/biologische Stoffe analysieren (untersuchen)";"Der Kompetenzbereich  beinhaltet Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer, 
physikalischer und biologischer Analyseverfahren
vorhanden sein sollten. ";"CL1W";"CL1F";"CL1K";"CL1M"
"Chemische/biologische  Produktionsverfahren vorbereiten/ planen, durchführen und optimieren ";"Der Kompetenzbereich beinhaltet  Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer/ 
biologischer Produktionsverfahren vorhanden 
sein sollten.";"CL2W";"CL2F";"CL2K";"CL2M"
"Anlagen bedienen, installieren und instandhalten";"Der Kompetenzbereich beinhaltet  Kompetenzen, die
 für die erfolgreiche Bewältigung, der Maschinen ,Apparate-, Anlagenbedienung, der technisch-
 mechanischen Vorbereitung von Maschinen, 
Apparate und Anlagen, und der dauerhaften 
Gewährleistung der technischen Funktionalität 
vorhanden sein sollten.";"CL3W";"CL3F";"CL3K";"CL3M"
"Chemische/biologische Verfahrensprozesse steuern und überwachen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Beurteilung und Beeinflussung von Produktionsprozessen hinsichtlich eines gewünschten Ablaufes vorhanden sein sollten.";"CL4W";"CL4F";"CL4K";"CL4M"
"Qualität prüfen, gewährleisten und verbessern  ";"Der Kompetenzbereich beinhaltet Kompetenzen, die für die erfolgreiche Bewältigung der Einhaltung oder Entwicklung organisierter Maßnahmen, die der Verbesserung von Produkten, Prozessen oder Leistungen dienen, vorhanden sein sollten.";"CL5W";"CL5F";"CL5K";"CL5M"
"Kosten kalkulieren, planen und beeinflussen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Planung, Beurteilung und Beeinflussung betrieblicher Abläufe nach wirtschaftlichen Gesichtspunkten vorhanden sein sollten.";"CL6W";"CL6F";"CL6K";"CL6M"
"Mitarbeiter organisieren, fördern und beurteilen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Personalbesetzung, der Personalführung und der Personalentwicklung vorhanden sein sollten.";"CL7W";"CL7F";"CL7K";"CL7M"
