;"Kompetenzmodell Chemietechniker";;;;
;;"Kompetenzaspekte";;;
;;"Fachkompetenz";;"Personale Kompetenz";
;;"Wissen";"Fertigkeiten";"Sozialkompetenz";"Selbstkompetenz"
"Kompetenzbereiche";"Beschreibung";"Tiefe und Breite des Wissens";"Instrumentelle und systematische Fertigkeiten, Beurteilungsfähigkeit";"Team-/Führungsfähigkeit, Mitgestaltung und Kommunikation";"Selbständigkeit/ Verantwortung, Reflexivität und Lernkompetenz"
"Chemische/ physikalische/biologische Stoffe analysieren (untersuchen)";"Der Kompetenzbereich  beinhaltet Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer, 
physikalischer und biologischer Analyseverfahren
vorhanden sein sollten. ";"CT1W";"CT1F";"CT1K";"CT1M"
"Chemische/biologische  Produktionsverfahren vorbereiten/ planen, durchführen und optimieren ";"Der Kompetenzbereich beinhaltet  Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer/ 
biologischer Produktionsverfahren vorhanden 
sein sollten.";"CT2W";"CT2F";"CT2K";"CT2M"
"Anlagen bedienen, installieren und instandhalten";"Der Kompetenzbereich beinhaltet  Kompetenzen, die
 für die erfolgreiche Bewältigung, der Maschinen ,Apparate-, Anlagenbedienung, der technisch-
 mechanischen Vorbereitung von Maschinen, 
Apparate und Anlagen, und der dauerhaften 
Gewährleistung der technischen Funktionalität 
vorhanden sein sollten.";"CT3W";"CT3F";"CT3K";"CT3M"
"Chemische/biologische Verfahrensprozesse steuern und überwachen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Beurteilung und Beeinflussung von Produktionsprozessen hinsichtlich eines gewünschten Ablaufes vorhanden sein sollten.";"CT4W";"CT4F";"CT4K";"CT4M"
"Qualität prüfen, gewährleisten und verbessern  ";"Der Kompetenzbereich beinhaltet Kompetenzen, die für die erfolgreiche Bewältigung der Einhaltung oder Entwicklung organisierter Maßnahmen, die der Verbesserung von Produkten, Prozessen oder Leistungen dienen, vorhanden sein sollten.";"CT5W";"CT5F";"CT5K";"CT5M"
"Kosten kalkulieren, planen und beeinflussen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Planung, Beurteilung und Beeinflussung betrieblicher Abläufe nach wirtschaftlichen Gesichtspunkten vorhanden sein sollten.";"CT6W";"CT6F";"CT6K";"CT6M"
"Mitarbeiter organisieren, fördern und beurteilen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Personalbesetzung, der Personalführung und der Personalentwicklung vorhanden sein sollten.";"CT7W";"CT7F";"CT7K";"CT7M"
