;"Kompetenzmodell Industriemeister-Chemie";;;;
;;"Kompetenzaspekte";;;
;;"Fachkompetenz";;"Personale Kompetenz";
;;"Wissen";"Fertigkeiten";"Sozialkompetenz";"Selbstkompetenz"
"Kompetenzbereiche";"Beschreibung";"Tiefe und Breite des Wissens";"Instrumentelle und systematische Fertigkeiten, Beurteilungsfähigkeit";"Team-/Führungsfähigkeit, Mitgestaltung und Kommunikation";"Selbständigkeit/ Verantwortung, Reflexivität und Lernkompetenz"
"Chemische/ physikalische/biologische Stoffe analysieren (untersuchen)";"Der Kompetenzbereich  beinhaltet Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer, 
physikalischer und biologischer Analyseverfahren
vorhanden sein sollten. ";"IC1W";"IC1F";"IC1K";"IC1M"
"Chemische/biologische  Produktionsverfahren vorbereiten/ planen, durchführen und optimieren ";"Der Kompetenzbereich beinhaltet  Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer/ 
biologischer Produktionsverfahren vorhanden 
sein sollten.";"IC2W";"IC2F";"IC2K";"IC2M"
"Anlagen bedienen, installieren und instandhalten";"Der Kompetenzbereich beinhaltet  Kompetenzen, die
 für die erfolgreiche Bewältigung, der Maschinen ,Apparate-, Anlagenbedienung, der technisch-
 mechanischen Vorbereitung von Maschinen, 
Apparate und Anlagen, und der dauerhaften 
Gewährleistung der technischen Funktionalität 
vorhanden sein sollten.";"IC3W";"IC3F";"IC3K";"IC3M"
"Chemische/biologische Verfahrensprozesse steuern und überwachen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Beurteilung und Beeinflussung von Produktionsprozessen hinsichtlich eines gewünschten Ablaufes vorhanden sein sollten.";"IC4W";"IC4F";"IC4K";"IC4M"
"Qualität prüfen, gewährleisten und verbessern  ";"Der Kompetenzbereich beinhaltet Kompetenzen, die für die erfolgreiche Bewältigung der Einhaltung oder Entwicklung organisierter Maßnahmen, die der Verbesserung von Produkten, Prozessen oder Leistungen dienen, vorhanden sein sollten.";"IC5W";"IC5F";"IC5K";"IC5M"
"Kosten kalkulieren, planen und beeinflussen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Planung, Beurteilung und Beeinflussung betrieblicher Abläufe nach wirtschaftlichen Gesichtspunkten vorhanden sein sollten.";"IC6W";"IC6F";"IC6K";"IC6M"
"Mitarbeiter organisieren, fördern und beurteilen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Personalbesetzung, der Personalführung und der Personalentwicklung vorhanden sein sollten.";"IC7W";"IC7F";"IC7K";"IC7M"
